acc_y,acc_z,acc_dy,acc_dz,spd,pothole,date
0.239899,0.035904,-0.014892,-0.218887,11.16,0,1595201035046
0.246521,0.008163,0.006622,-0.231736,11.16,0,1595201035141
0.177017,0.013306,-0.069504,-0.233215,11.16,0,1595201035236
0.101318,0.047668,-0.075699,-0.129349,11.16,0,1595201035412
0.076935,-0.027664,-0.024383,-0.128982,11.16,0,1595201035446
0.094513,-0.000244,0.017578,-0.077179,11.16,0,1595201035626
0.090698,0.016693,-0.003815,-0.07782,11.16,0,1595201035640
0.102966,0.013748,0.012268,-0.07695,11.16,0,1595201035767
0.107773,-0.006927,0.004807,-0.109893,11.16,0,1595201035933
0.079422,0.027267,-0.028351,-0.080506,11.16,0,1595201035967
0.078644,0.01741,-0.000778,-0.062012,11.16,0,1595201036128
0.061508,0.022461,-0.017136,-0.056183,11.16,0,1595201036231
0.050735,-0.015945,-0.010773,-0.077453,11.16,0,1595201036342
0.070572,-0.015396,0.019837,-0.066131,11.16,0,1595201036445
0.032974,-0.021667,-0.037598,-0.092239,11.16,0,1595201036556
0.0849,0.021423,0.051926,-0.011551,11.16,0,1595201036751
0.047211,0.081482,-0.037689,-0.003418,11.16,0,1595201036765
0.045654,0.061295,-0.001557,0.014084,11.16,0,1595201036888
0.047791,-0.024368,0.002137,-0.070022,11.16,0,1595201036964
0.027924,-0.013962,-0.019867,-0.061753,11.16,0,1595201037051
-0.001053,-0.016556,-0.028977,-0.04448,11.16,0,1595201037188
-0.020508,0.021744,-0.019455,0.022797,11.16,0,1595201037278
-0.042236,0.021683,-0.021728,0.042191,11.16,0,1595201037397
-0.02121,-0.047836,0.021026,-0.0056,11.16,0,1595201037486
-0.019302,-0.026596,0.001908,-0.005386,11.16,0,1595201037588
-0.003357,-0.013596,0.015945,0.005706,11.16,0,1595201037690
-0.056961,0.036499,-0.053604,0.039856,11.16,0,1595201037807
0.031342,-0.079361,0.088303,-0.0224,11.16,0,1595201037909
0.034286,-0.141815,0.002944,-0.173157,11.16,0,1595201038006
-0.018188,0.0905,-0.052474,0.056214,5.69,0,1595201038184
0.00032,0.028687,0.018508,0.046875,5.69,0,1595201038208
0.015839,0.0186,0.015519,0.01828,5.69,0,1595201038324
0.087418,-0.093491,0.071579,-0.10933,5.69,0,1595201038493
0.0616,0.023682,-0.025818,-0.063736,5.69,0,1595201038587
0.024933,0.107162,-0.036667,0.045562,5.69,0,1595201038689
-0.009644,0.013641,-0.034577,-0.011292,5.69,0,1595201038800
-0.041672,0.057526,-0.032028,0.06717,5.69,0,1595201038902
-0.04451,-0.010574,-0.002838,0.031098,5.69,0,1595201039005
-0.005035,-0.016266,0.039475,0.028244,5.69,0,1595201039120
-0.110031,-0.004883,-0.104996,0.000152,5.69,0,1595201039210
-0.103653,-0.037018,0.006378,0.073013,5.69,0,1595201039312
-0.08725,-0.021469,0.016403,0.082184,5.69,0,1595201039428
-0.090012,0.056168,-0.002762,0.143418,5.69,0,1595201039509
-0.116486,-0.005157,-0.026474,0.084855,5.69,0,1595201039625
-0.114349,0.017868,0.002137,0.134354,5.69,0,1595201039746
-0.067871,-0.025482,0.046478,0.088867,5.69,0,1595201039838
-0.101791,0.156067,-0.03392,0.223938,5.69,0,1595201039939
-0.067551,-0.194977,0.03424,-0.093186,5.69,0,1595201040046
-0.086777,0.075974,-0.019226,0.143525,5.69,0,1595201040147
-0.058563,0.110077,0.028214,0.196854,5.69,0,1595201040246
-0.072342,-0.020477,-0.013779,0.038086,5.69,0,1595201040438
-0.029007,-0.065689,0.043335,0.006653,5.69,0,1595201040452
0.072372,-0.085876,0.101379,-0.056869,5.69,0,1595201040559
-0.018906,0.012054,-0.091278,-0.060318,5.69,0,1595201040746
-0.044373,0.116226,-0.025467,0.135132,5.69,0,1595201040771
-0.01149,-0.033737,0.032883,0.010636,5.69,0,1595201040887
0.044785,0.263214,0.056275,0.274704,5.69,0,1595201041043
0.095901,0.016724,0.051116,-0.028061,5.69,0,1595201041146
0.033401,0.036118,-0.0625,-0.059783,5.69,0,1595201041258
0.048203,-0.04483,0.014802,-0.078231,5.69,0,1595201041360
0.019669,0.117599,-0.028534,0.069396,5.69,0,1595201041462
-0.0233,0.008484,-0.042969,-0.011185,5.69,0,1595201041564
0.02742,0.00293,0.05072,0.02623,5.69,0,1595201041667
0.009659,0.066895,-0.017761,0.039475,5.69,0,1595201041769
-0.011276,0.039322,-0.020935,0.029663,5.69,0,1595201041863
-0.022247,0.019516,-0.010971,0.030792,5.69,0,1595201041986
-0.035889,-0.014404,-0.013642,0.007843,5.69,0,1595201042104
-0.017166,-0.01297,0.018723,0.022919,5.69,0,1595201042197
-0.016434,-0.00705,0.000732,0.010116,5.69,0,1595201042296
-0.030151,0.040573,-0.013717,0.057007,5.69,0,1595201042383
-0.055893,-0.001892,-0.025742,0.028259,5.69,0,1595201042528
-0.000763,0.037399,0.05513,0.093292,5.69,0,1595201042707
0.004745,-0.00267,0.005508,-0.001907,5.69,0,1595201042733
-0.017792,-0.03125,-0.022537,-0.035995,5.69,0,1595201042896
-0.018951,0.029953,-0.001159,0.047745,5.69,0,1595201042908
0.011261,0.034866,0.030212,0.053817,5.69,0,1595201043099
0.018082,-0.009384,0.006821,-0.020645,9.77,0,1595201043203
0.035538,0.012482,0.017456,-0.0056,9.77,0,1595201043226
0.003998,0.010498,-0.03154,-0.02504,9.77,0,1595201043408
0.000549,-0.016342,-0.003449,-0.02034,9.77,0,1595201043449
-0.019638,-0.011581,-0.020187,-0.01213,9.77,0,1595201043603
0.017487,0.001785,0.037125,0.021423,9.77,0,1595201043713
0.023895,0.019958,0.006408,0.002471,9.77,0,1595201043817
-0.002563,0.032135,-0.026458,0.00824,9.77,0,1595201043919
0.022736,-0.034821,0.025299,-0.032258,9.77,0,1595201044022
0.024734,-0.03653,0.001998,-0.059266,9.77,0,1595201044124
0.023087,0.017624,-0.001647,-0.00711,9.77,0,1595201044239
0.022598,-0.031448,-0.000489,-0.054535,9.77,0,1595201044321
0.027252,-0.000183,0.004654,-0.022781,9.77,0,1595201044435
0.007965,0.035767,-0.019287,0.008515,9.77,0,1595201044541
0.026016,0.009125,0.018051,0.00116,9.77,0,1595201044656
0.037521,0.023819,0.011505,-0.002197,9.77,0,1595201044739
0.027252,0.046234,-0.010269,0.008713,9.77,0,1595201044857
0.038879,0.054764,0.011627,0.027512,9.77,0,1595201044957
0.027328,0.011047,-0.011551,-0.027832,9.77,0,1595201045067
