acc_x,acc_y,acc_z,acc_dx,acc_dy,acc_dz,pothole,date
-0.011307,-0.003281,0.056427,0.003036,-0.000107,0.059601,0,1595105439726
-0.011749,-0.013489,0.008911,-0.000442,-0.010208,0.012192,0,1595105439829
-0.011993,0.002274,0.015137,-0.000244,0.015763,0.028626,0,1595105439947
-0.012161,-0.013855,-0.018402,-0.000168,-0.016129,-0.020676,0,1595105440033
-0.005798,-0.013733,0.03096,0.006363,0.000122,0.044815,0,1595105440159
-0.022614,-0.023026,-0.03508,-0.016816,-0.009293,-0.021347,0,1595105440247
-0.013733,-0.0103,0.057098,0.008881,0.012726,0.080124,0,1595105440358
-0.006531,-0.017166,-0.012833,0.007202,-0.006866,-0.002533,0,1595105440459
-0.02388,-0.012726,-0.01149,-0.017349,0.00444,0.005676,0,1595105440570
-0.009933,-0.012817,-0.022171,0.013947,-0.000091,-0.009445,0,1595105440673
-0.008377,-0.012466,-0.061981,0.001556,0.000351,-0.049164,0,1595105440769
-0.020554,-0.030396,0.003326,-0.012177,-0.01793,0.015792,0,1595105440894
-0.016068,-0.00325,-0.031525,0.004486,0.027146,-0.001129,0,1595105440970
-0.001068,-0.004547,-0.028839,0.015,-0.001297,-0.025589,0,1595105441087
-0.022537,-0.011261,-0.029556,-0.021469,-0.006714,-0.025009,0,1595105441262
-0.014877,-0.019257,-0.079453,0.00766,-0.007996,-0.068192,0,1595105441305
-0.009949,-0.012756,-0.028137,0.004928,0.006501,-0.00888,0,1595105441467
-0.020874,-0.006638,-0.022888,-0.010925,0.006118,-0.010132,0,1595105441569
-0.008621,0.00177,-0.005508,0.012253,0.008408,0.00113,0,1595105441672
-0.016602,0.006561,-0.014923,-0.007981,0.004791,-0.016693,0,1595105441774
-0.022949,0.003937,-0.017838,-0.006347,-0.002624,-0.024399,0,1595105441810
-0.024551,-0.003418,-0.008957,-0.001602,-0.007355,-0.012894,0,1595105441979
-0.011826,0.00174,-0.000824,0.012725,0.005158,0.002594,0,1595105442086
-0.024612,0.003845,0.015442,-0.012786,0.002105,0.013702,0,1595105442184
-0.033707,0.01413,0.014023,-0.009095,0.010285,0.010178,0,1595105442286
-0.005127,0.014908,0.00705,0.02858,0.000778,-0.00708,0,1595105442403
-0.01355,0.002625,0.028305,-0.008423,-0.012283,0.013397,0,1595105442469
-0.008774,0.020386,0.053818,0.004776,0.017761,0.051193,0,1595105442593
-0.013763,0.017441,0.015366,-0.004989,-0.002945,-0.00502,0,1595105442709
-0.008621,0.016098,0.016769,0.005142,-0.001343,-0.000672,0,1595105442807
-0.023163,0.020096,-0.03064,-0.014542,0.003998,-0.046738,0,1595105442900
-0.00943,0.022934,0.00853,0.013733,0.002838,-0.011566,0,1595105443003
-0.005463,0.026505,0.004349,0.003967,0.003571,-0.018585,0,1595105443207
-0.015961,0.032166,0.034302,-0.010498,0.005661,0.007797,0,1595105443417
-0.005768,0.021973,-0.014557,0.010193,-0.010193,-0.046723,0,1595105443455
-0.006226,0.031174,0.008774,-0.000458,0.009201,-0.013199,0,1595105443616
-0.018326,0.040894,0.000687,-0.0121,0.00972,-0.030487,0,1595105443616
-0.002747,0.03154,0.003525,0.015579,-0.009354,-0.037369,0,1595105443808
-0.02153,0.028549,0.062836,-0.018783,-0.002991,0.031296,0,1595105443808
-0.002243,0.034348,-0.000824,0.019287,0.005799,-0.029373,0,1595105443909
-0.013992,0.035767,0.045853,-0.011749,0.001419,0.011505,0,1595105443967
-0.012344,0.024078,0.076599,0.001648,-0.011689,0.040832,0,1595105444097
0.004059,0.036865,0.024948,0.016403,0.012787,0.00087,0,1595105444250
0.003113,0.026886,-0.039474,-0.000946,-0.009979,-0.076339,0,1595105444320
-0.016891,0.024857,0.082458,-0.020004,-0.002029,0.055572,0,1595105444437
-0.013351,0.020126,-0.004745,0.00354,-0.004731,-0.029602,0,1595105444539
-0.006363,0.025574,-0.018219,0.006988,0.005448,-0.038345,0,1595105444614
-0.021149,0.023422,0.047073,-0.014786,-0.002152,0.021499,0,1595105444744
-0.000336,0.016129,-0.022781,0.020813,-0.007293,-0.046203,0,1595105444846
-0.009369,0.026764,-0.131409,-0.009033,0.010635,-0.147538,0,1595105444971
-0.005325,0.026688,0.009033,0.004044,-0.000076,-0.017731,0,1595105445068
-0.016129,0.023865,0.019791,-0.010804,-0.002823,-0.006897,0,1595105445184
0.016235,0.014587,-0.046127,0.032364,-0.009278,-0.069992,0,1595105445357
0.022949,0.016617,0.03804,0.006714,0.00203,0.023453,0,1595105445371
-0.025848,0.015152,0.034775,-0.048797,-0.001465,0.018158,0,1595105445481
-0.022369,0.017868,0.007828,0.003479,0.002716,-0.007324,0,1595105445681
0.014252,0.016876,0.036972,0.036621,-0.000992,0.019104,0,1595105445695
0.001114,-0.001862,0.016678,-0.013138,-0.018738,-0.000198,0,1595105445971
0.001923,-0.030487,0.11673,0.000809,-0.028625,0.118592,0,1595105445972
0.061371,-0.042145,-0.160599,0.059448,-0.011658,-0.130112,0,1595105446075
0.014755,-0.030685,-0.122528,-0.046616,0.01146,-0.080383,0,1595105446279
-0.008499,-0.014465,0.159027,-0.023254,0.01622,0.189712,0,1595105446279
-0.021271,-0.008362,-0.050766,-0.012772,0.006103,-0.036301,0,1595105446389
-0.01532,0.020172,-0.08519,0.005951,0.028534,-0.076828,0,1595105446459
0.014359,0.019699,0.013626,0.029679,-0.000473,-0.006546,0,1595105446539
0.000793,0.028152,0.036545,-0.013566,0.008453,0.016846,0,1595105446696
-0.009232,0.028641,-0.043701,-0.010025,0.000489,-0.071853,0,1595105446767
-0.01593,0.028885,-0.016357,-0.006698,0.000244,-0.044998,0,1595105446858
0.025467,0.029007,0.066925,0.041397,0.000122,0.03804,0,1595105447005
-0.026108,0.023438,0.020432,-0.051575,-0.005569,-0.008575,0,1595105447096
0.001541,0.016159,-0.003784,0.027649,-0.007279,-0.027222,0,1595105447218
-0.01178,0.031143,0.018784,-0.013321,0.014984,0.002625,0,1595105447328
-0.045929,0.035034,-0.020187,-0.034149,0.003891,-0.05133,0,1595105447408
-0.05188,0.025253,0.008011,-0.005951,-0.009781,-0.027023,0,1595105447610
-0.038284,0.037338,0.02565,0.013596,0.012085,0.000397,0,1595105447624
-0.005814,0.02774,-0.031952,0.03247,-0.009598,-0.06929,0,1595105447815
-0.003937,0.033981,-0.034988,0.001877,0.006241,-0.062728,0,1595105447848
-0.012207,0.035095,-0.037186,-0.00827,0.001114,-0.071167,0,1595105447947
-0.017105,0.024429,-0.033325,-0.004898,-0.010666,-0.06842,0,1595105448156
0.010635,0.030807,-0.043625,0.02774,0.006378,-0.068054,0,1595105448429
0.047226,0.029053,0.018768,0.036591,-0.001754,-0.012039,0,1595105448471
0.009521,0.029068,0.022385,-0.037705,0.000015,-0.006668,0,1595105448533
0.013382,0.019897,0.081894,0.003861,-0.009171,0.052826,0,1595105448533
0.018585,0.035828,0.000381,0.005203,0.015931,-0.019516,0,1595105448736
0.015854,0.032944,-0.003525,-0.002731,-0.002884,-0.039353,0,1595105448736
-0.008469,0.035812,-0.011642,-0.024323,0.002868,-0.044586,0,1595105448853
0.01741,0.024948,-0.019638,0.025879,-0.010864,-0.05545,0,1595105448948
0.018524,0.029694,-0.009399,0.001114,0.004746,-0.034347,0,1595105449046
0.019943,0.031708,0.015045,0.001419,0.002014,-0.014649,0,1595105449146
0.01033,0.037262,0.008041,-0.009613,0.005554,-0.023667,0,1595105449351
0.023712,0.029495,0.016159,0.013382,-0.007767,-0.021103,0,1595105449351
0.052582,0.037155,-0.01181,0.02887,0.00766,-0.041305,0,1595105449470
0.046219,0.040924,-0.036774,-0.006363,0.003769,-0.073929,0,1595105449658
0.033051,0.031586,-0.060532,-0.013168,-0.009338,-0.101456,0,1595105449658
0.034241,0.02037,0.03093,0.00119,-0.011216,-0.000656,0,1595105449787
0.05014,0.04126,0.092438,0.015899,0.02089,0.072068,0,1595105449994
0.078278,0.035904,-0.029968,0.028138,-0.005356,-0.071228,0,1595105449994
0.041611,0.033646,-0.02504,-0.036667,-0.002258,-0.060944,0,1595105450097
0.053162,0.02684,-0.024002,0.011551,-0.006806,-0.057648,0,1595105450273
0.071869,0.035873,0.036591,0.018707,0.009033,0.009751,0,1595105450376
0.127304,0.011429,-0.033829,0.055435,-0.024444,-0.069702,0,1595105450414
0.102173,0.04567,0.025787,-0.025131,0.034241,0.014358,0,1595105450592
0.093964,0.061646,0.040802,-0.008209,0.015976,-0.004868,0,1595105450682
0.085754,0.052582,-0.110794,-0.00821,-0.009064,-0.17244,0,1595105450888
0.074127,0.050751,-0.136856,-0.011627,-0.001831,-0.189438,0,1595105450888
0.065948,0.035904,0.07106,-0.008179,-0.014847,0.020309,0,1595105450990
0.046341,0.032501,-0.004532,-0.019607,-0.003403,-0.040436,0,1595105451194
0.083832,0.048691,-0.056351,0.037491,0.01619,-0.088852,0,1595105451194
0.100021,0.076401,0.100845,0.016189,0.02771,0.052154,0,1595105451306
0.092026,0.060776,0.052185,-0.007995,-0.015625,-0.024216,0,1595105451420
0.113541,0.070786,-0.051819,0.021515,0.01001,-0.112595,0,1595105451526
0.129684,0.071014,-0.026901,0.016143,0.000228,-0.097687,0,1595105451638
0.108887,0.090271,0.068176,-0.020797,0.019257,-0.002838,0,1595105451736
0.084579,0.069855,0.000961,-0.024308,-0.020416,-0.08931,0,1595105451826
0.10704,0.069046,-0.032837,0.022461,-0.000809,-0.102692,0,1595105451944
0.166122,0.076202,-0.001816,0.059082,0.007156,-0.070862,0,1595105452035
0.15773,0.065475,-0.069397,-0.008392,-0.010727,-0.145599,0,1595105452139
0.104889,0.076706,0.098038,-0.052841,0.011231,0.032563,0,1595105452247
0.074203,0.056091,0.019928,-0.030686,-0.020615,-0.056778,0,1595105452449
0.119812,0.067917,-0.00264,0.045609,0.011826,-0.058731,0,1595105452461
0.129364,0.071503,0.028076,0.009552,0.003586,-0.039841,0,1595105452618
0.107956,0.058426,0.021866,-0.021408,-0.013077,-0.049637,0,1595105452694
0.0522,0.062057,0.071075,-0.055756,0.003631,0.012649,0,1595105452833
0.005737,0.036758,0.042664,-0.046463,-0.025299,-0.019393,0,1595105453037
0.042831,0.031342,-0.066727,0.037094,-0.005416,-0.103485,0,1595105453037
0.033524,0.031113,-0.083221,-0.009307,-0.000229,-0.114563,0,1595105453140
0.037949,0.040405,-0.062378,0.004425,0.009292,-0.093491,0,1595105453344
0.026062,0.034668,-0.044403,-0.011887,-0.005737,-0.084808,0,1595105453344
-0.020218,0.027985,0.043808,-0.04628,-0.006683,0.00914,0,1595105453487
-0.033081,0.033737,0.01651,-0.012863,0.005752,-0.011475,0,1595105453684
-0.002472,0.03215,-0.083115,0.030609,-0.001587,-0.116852,0,1595105453684
0.01973,0.036667,-0.003906,0.022202,0.004517,-0.036056,0,1595105453779
0.027603,0.03923,0.021179,0.007873,0.002563,-0.015488,0,1595105453873
-0.008636,0.033508,0.013245,-0.036239,-0.005722,-0.025985,0,1595105453960
0.012573,0.03569,0.037231,0.021209,0.002182,0.003723,0,1595105454163
0.007156,0.041229,-0.064896,-0.005417,0.005539,-0.100586,0,1595105454369
0.023514,0.031998,0.007095,0.016358,-0.009231,-0.034134,0,1595105454471
0.043854,0.028824,0.077377,0.02034,-0.003174,0.045379,0,1595105454491
0.086563,0.039505,0.060013,0.042709,0.010681,0.031189,0,1595105454574
0.129059,0.031677,-0.037384,0.042496,-0.007828,-0.076889,0,1595105454574
0.064133,0.025146,0.08934,-0.064926,-0.006531,0.057663,0,1595105454779
0.004044,0.039902,-0.047913,-0.060089,0.014756,-0.073059,0,1595105454794
0.036301,0.020737,-0.08197,0.032257,-0.019165,-0.121872,0,1595105454983
0.045227,0.028854,-0.014938,0.008926,0.008117,-0.035675,0,1595105455088
0.047226,0.028168,0.023041,0.001999,-0.000686,-0.005813,0,1595105455118
0.069458,0.007141,0.01442,0.022232,-0.021027,-0.013748,0,1595105455291
0.040543,-0.022568,-0.074982,-0.028915,-0.029709,-0.082123,0,1595105455324
0.038162,-0.009384,-0.010193,-0.002381,0.013184,0.012375,0,1595105455496
0.011993,-0.005386,0.094299,-0.026169,0.003998,0.103683,0,1595105455598
0.050354,0.00032,-0.016327,0.038361,0.005706,-0.010941,0,1595105455701
0.069061,0.011673,0.016922,0.018707,0.011353,0.016602,0,1595105455803
0.056183,0.015244,0.04866,-0.012878,0.003571,0.036987,0,1595105455905
0.054276,0.021683,0.068176,-0.001907,0.006439,0.052932,0,1595105456007
-0.020493,0.030365,-0.013962,-0.074769,0.008682,-0.035645,0,1595105456110
-0.009766,0.036194,0.011398,0.010727,0.005829,-0.018967,0,1595105456217
0.02626,0.041916,0.028671,0.036026,0.005722,-0.007523,0,1595105456315
0.065414,0.034729,-0.031677,0.039154,-0.007187,-0.073593,0,1595105456417
0.041794,0.02211,-0.04863,-0.02362,-0.012619,-0.083359,0,1595105456520
0.031754,0.043427,0.079468,-0.01004,0.021317,0.057358,0,1595105456622
0.009201,0.045364,0.177872,-0.022553,0.001937,0.134445,0,1595105456739
0.010162,0.079819,0.020966,0.000961,0.034455,-0.024398,0,1595105456828
0.026245,0.019165,-0.060455,0.016083,-0.060654,-0.140274,0,1595105456949
0.021973,0.064392,-0.05864,-0.004272,0.045227,-0.077805,0,1595105457032
0.010925,0.04686,0.00824,-0.011048,-0.017532,-0.056152,0,1595105457148
0.046356,0.017197,0.017426,0.035431,-0.029663,-0.029434,0,1595105457245
0.043793,0.050034,0.108383,-0.002563,0.032837,0.091186,0,1595105457367
0.036438,0.042282,0.038895,-0.007355,-0.007752,-0.011139,0,1595105457467
0.037689,0.043167,-0.000076,0.001251,0.000885,-0.042358,0,1595105457574
0.025391,0.057739,-0.069046,-0.012298,0.014572,-0.112213,0,1595105457749
0.007614,0.068771,0.03923,-0.017777,0.011032,-0.018509,0,1595105457851
0.022491,0.039536,-0.019333,0.014877,-0.029235,-0.088104,0,1595105457953
0.031723,0.045654,0.005615,0.009232,0.006118,-0.033921,0,1595105458055
0.044189,0.03772,-0.03479,0.012466,-0.007934,-0.080444,0,1595105458158
0.030716,0.035706,-0.022079,-0.013473,-0.002014,-0.059799,0,1595105458260
-0.003677,0.036301,0.005447,-0.034393,0.000595,-0.030259,0,1595105458363
0.030579,0.038086,-0.108444,0.034256,0.001785,-0.144745,0,1595105458479
0.027954,0.049438,0.000519,-0.002625,0.011352,-0.037567,0,1595105458568
0.014603,0.049683,-0.07338,-0.013351,0.000245,-0.122818,0,1595105458670
0.01181,0.052155,0.035263,-0.002793,0.002472,-0.01442,0,1595105458801
0.002197,0.039932,-0.051727,-0.009613,-0.012223,-0.103882,0,1595105458877
